Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3
Tracks 1 to 3      
250 157.90422 608.8927 276.5636 632.97     
251 158.16287 608.98486 275.92374 632.98816     
252 158.03137 609.05493 277.86584 633.36584     
253 157.86487 608.8456 279.26562 632.33594     
254 157.95294 608.9255 276.08936 633.05896     
255 158.00877 608.83136 276.80038 633.84784     
256 158.053 608.8256 275.56512 633.5651     
257 158.06395 608.8178 275.27618 633.6625     
258 157.99518 608.8719 275.25266 633.1219     
259 158.00098 608.7427 276.84497 633.438     
260 157.96706 608.8895 265.5735 634.4297     
261 157.95973 608.8477 276.764 633.232     
262 158.03125 608.84766 275.68118 632.8415     
263 157.9227 608.81116 278.85547 632.7578     
264 157.91086 609.0814 277.34152 633.26605     
265 157.94814 609.0773 277.50803 633.0221     
266 157.96063 609.07086 280.0238 632.2897     
267 157.86801 608.85645 278.66336 633.0498     
268 157.93243 608.77606 275.88013 632.5788     
269 157.9175 608.76245 276.9553 633.79266     
270 157.71031 608.756 275.91287 633.3182     
271 157.93799 608.73645 275.29388 633.374     
272 157.81412 608.83 274.70312 634.0664     
273 157.98561 608.9069 275.95587 633.26105     
274 157.87187 608.79865 278.6804 632.7353     
275 157.9104 608.8468 275.75174 633.2902     
276 157.83008 609.0156 275.7063 633.0769     
277 157.81679 608.9084 277.1043 632.6835     
278 157.78488 608.89923 279.71155 632.60767     
279 157.77766 608.84564 275.95557 633.1222     
280 157.87015 608.8798 278.66394 633.1803     
281 157.80962 608.8404 259.97687 634.6676     
         
Track Length Distance traveled Nr of Frames   
1 225.82796 15.903622 281      
2 731.0504 550.27716 281      
3 872.68414 15.586314 281      
