Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
72	2.1441948	597.73224	 	280.6216	626.5297	 	108.50775	24.521318	 	113.65885	570.8776	 	 	 	 	 	 	 
73	9.681334	604.8413	 	269.46933	627.7217	 	108.74138	24.616858	 	113.48708	562.82043	 	 	 	 	 	 	 
74	2.1761565	596.8167	 	290.59964	621.26154	 	109.36073	24.645067	 	113.043365	555.1174	 	 	 	 	 	 	 
75	17.646172	604.8967	 	290.87036	623.26544	 	108.64032	24.513834	 	112.878174	547.45685	 	 	 	 	 	 	 
76	1.9645162	587.84515	 	269.69287	627.6738	 	108.699234	24.547894	 	112.76463	540.47455	 	 	 	 	 	 	 
77	2.0034246	589.9281	 	290.5873	623.21826	 	108.85189	24.547714	 	112.54798	533.6187	 	 	 	 	 	 	 
78	2.1468647	591.4967	 	290.3687	623.11005	 	107.896	24.52	 	112.33863	527.14795	 	 	 	 	 	 	 
79	2.0214522	589.5858	 	290.39218	622.0985	 	108.84247	24.94227	 	112.12712	521.0932	 	 	 	 	 	 	 
80	2.6041667	599.01044	 	272.5514	626.1402	 	107.95656	24.718115	 	111.754196	515.3609	 	 	 	 	 	 	 
81	2.0095057	596.37836	 	290.56323	623.15216	 	107.690475	24.46627	 	111.34672	509.4927	 	 	 	 	 	 	 
82	2.0131087	596.52997	 	290.61328	623.0078	 	108.45618	24.641434	 	111.38434	504.10965	 	 	 	 	 	 	 
83	2.3737202	596.67065	 	269.4678	626.5837	 	108.719696	24.592804	 	111.19504	498.987	 	 	 	 	 	 	 
84	30.175835	608.53534	 	290.04944	623.4414	 	109.38499	24.638401	 	111.054245	493.9151	 	 	 	 	 	 	 
85	2.0917604	598.8745	 	290.30148	623.18915	 	109.230095	24.536894	 	111.024475	489.23425	 	 	 	 	 	 	 
86	1.9595469	587.96924	 	 	 	 	108.32592	24.449709	 	110.611115	485.27084	 	 	 	 	 	 	 
87	2.003788	595.73865	 	 	 	 	108.72288	24.653847	 	110.306816	481.67044	 	 	 	 	 	 	 
88	2.1327274	595.86	 	 	 	 	107.739006	24.515297	 	110.00457	478.15982	 	 	 	 	 	 	 
89	1.9618182	594.22363	 	 	 	 	107.72034	24.816383	 	109.751144	474.99088	 	 	 	 	 	 	 
90	1.9708029	594.4124	 	 	 	 	107.47115	24.736538	 	109.597	471.9596	 	 	 	 	 	 	 
91	2.0978649	595.8452	 	 	 	 	107.41321	24.741508	 	109.409706	469.1072	 	 	 	 	 	 	 
92	2.1743422	590.727	 	 	 	 	107.30639	24.81955	 	109.08036	466.5893	 	 	 	 	 	 	 
93	1.9589552	596.5485	 	 	 	 	107.30835	24.847248	 	108.87417	464.4176	 	 	 	 	 	 	 
94	2.063433	597.3209	 	 	 	 	107.22978	24.626232	 	108.53587	462.51794	 	 	 	 	 	 	 
95	2.1525097	599.96716	 	 	 	 	107.593025	24.676357	 	108.397095	460.9049	 	 	 	 	 	 	 
96	30.403662	607.85645	 	 	 	 	107.41095	24.585342	 	108.160866	459.5174	 	 	 	 	 	 	 
97	2.0741935	590.4677	 	 	 	 	107.19025	24.410133	 	107.94072	458.61856	 	 	 	 	 	 	 
98	2.5201342	599.2215	 	 	 	 	107.746216	24.625	 	107.78261	457.81958	 	 	 	 	 	 	 
99	2.074751	590.50665	 	 	 	 	107.35907	24.555984	 	107.40315	457.81982	 	 	 	 	 	 	 
100	9.067935	604.01086	 	 	 	 	107.28503	24.785988	 	107.260086	457.97983	 	 	 	 	 	 	 
