Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3 X4 Y4 Flag4
Tracks 1 to 4         
236 37.93271 610.4744 * 269.1202 636.7021 30.85849 637.7491 *    
237 37.451504 610.49164 * 238.82617 637.2129 21.849888 635.79346 *    
238 36.978405 610.59467 * 270.7081 634.82947 23.101416 636.158 *    
239 36.50842 610.5657 * 270.05624 635.5062 22.568396 636.1203 *    
240 35.935078 610.5354 * 268.6278 635.9409 30.437729 637.489 *    
241 35.462234 610.59033 * 269.76257 634.6285 22.810946 636.097 *    
242 35.09241 610.6766 * 270.0926 635.8603 21.027273 635.88184 *    
243 34.395973 610.9178 * 271.2832 635.4965 21.24799 636.02814 *    
244 33.818108 610.9731 * 260.37268 636.16315 21.507614 636.0736 *    
            
Track Length Distance traveled Nr of Frames      
1 838.5451 577.8211 244         
2 919.74506 31.613108 114         
3 866.55664 3.5762322 153         
4 281.96036 11.69875 56         
