A5_papier_lijst,A5_coefficienten_1_h_B_lijst,A5_fout_coefficienten_1_h_B_lijst,A5_coefficienten_1_v_B_lijst,A5_fout_coefficienten_1_v_B_lijst
46,0.29120066730330313,0.0032769452284155333,0.5023861708351213,0.002941229607699184
46,0.32578994131170036,0.003288490919334858,0.5241982708340919,0.003680499223004011
48,0.3210459299078465,0.0033680275447112704,0.5236859803131173,0.003855541456865981
48,0.34592765327306113,0.00318044014358851,0.5602384892144479,0.0041103881829034124
50,0.3294945551148515,0.0038137461996385104,0.5532654319175829,0.003946164070524886
50,0.33436175397544027,0.0036020624245048267,0.5304017058173829,0.003477724418947044
52,0.3450795376318644,0.0034990424399197182,0.5654789563356319,0.0039828491664026695
52,0.34070178692240527,0.003019516260333388,0.6227510173880816,0.004376477137376182
54,0.31218200693358783,0.0035864788901818433,0.554577784821041,0.004122177028672158
54,0.3089783103864737,0.003560702130093217,0.5576687098511306,0.003923608046037368
56,0.30851821471451923,0.003174034664765432,0.5247831602245093,0.0031181368004144115
56,0.32850037205250743,0.003052022977966785,0.5560203411583428,0.0035948980030759354
58,0.31408775213087764,0.0029236508686282616,0.5197573930834399,0.003648139704780121
58,0.32411022373841913,0.004201675112428967,0.5079751084205429,0.003596468779164141
60,0.32233755824514104,0.0042015634234335115,0.5414376907480037,0.0033427392727949394
60,0.3271254564792615,0.003184832877690589,0.5274570334185786,0.0036136399606544706
100,0.36943214936185326,0.002787351619238979,0.5700960865123014,0.0038252226406361744
100,0.37470425981550476,0.0030307928800246725,0.5969182125039335,0.003987174702356082
150,0.3328319980415805,0.0036721317730048966,0.5217164757506303,0.0030552729721189955
150,0.33076822673157374,0.003931256831157392,0.5697371138494892,0.0037703969796463524
200,0.2534838012768024,0.003141062419105301,0.4697797504697847,0.002055856704112275
200,0.2594891123087438,0.003449979544806509,0.48198746787018126,0.002426166874668138
250,0.20502441607880498,0.0029082483158780386,0.38297163289572966,0.0016130028007357582
250,0.21275811020429813,0.002542074627793746,0.39613978944305794,0.001564835055330588
300,0.18528149503448205,0.0027005304457445615,0.3173656598042958,0.0013865974613112332
300,0.19634890445168335,0.0026507881851483327,0.3320174922362412,0.0012075451380178452
