Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
90	159.16188	24.299103	 	251.92728	0.9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
91	159.36578	24.466223	 	251.91176	0.9027149	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
92	159.39291	24.552212	 	252.08296	0.91255605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
93	159.58177	24.75689	 	252.26785	0.91964287	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
94	159.6655	25.067781	 	251.68303	0.91071427	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
95	159.9	25.484211	 	251.89189	0.9054054	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
96	160.2227	26.139515	 	251.92728	0.9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
97	160.69128	26.841589	 	252.6892	0.9189189	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98	161.14076	27.789892	 	252.31363	0.9045454	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
99	 	 	 	251.92728	0.9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
100	 	 	 	252.71461	0.9063927	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
101	 	 	 	252.6909	0.90909094	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
102	 	 	 	252.11644	0.89726025	 	160.31537	17.396603	 	165.47003	48.10568	 	 	 	 	 	 	 	 	 	 	 	 	 
103	 	 	 	252.92465	0.9109589	 	160.8716	17.031721	*	165.55087	51.67806	*	 	 	 	 	 	 	 	 	 	 	 	 
104	 	 	 	252.50453	0.9117647	 	161.05505	16.551283	*	165.69807	55.5	*	 	 	 	 	 	 	 	 	 	 	 	 
105	 	 	 	251.91176	0.9027149	 	161.7185	16.330046	*	165.77786	59.53554	*	 	 	 	 	 	 	 	 	 	 	 	 
106	 	 	 	252.52272	0.90909094	 	162.40854	15.998476	*	165.82793	64.001625	*	 	 	 	 	 	 	 	 	 	 	 	 
107	 	 	 	252.29185	0.9072398	 	162.8871	15.747312	*	165.93279	68.70492	 	 	 	 	 	 	 	 	 	 	 	 	 
108	 	 	 	252.6909	0.90909094	 	163.37267	15.298137	 	165.94131	73.81901	 	 	 	 	 	 	 	 	 	 	 	 	 
109	 	 	 	252.6892	0.9189189	 	163.9232	15.018808	 	166.0	79.25908	 	 	 	 	 	 	 	 	 	 	 	 	 
110	 	 	 	252.28923	0.91704035	 	164.34311	14.675911	 	166.12857	84.88655	 	 	 	 	 	 	 	 	 	 	 	 	 
111	 	 	 	252.71461	0.9063927	 	164.99841	14.454114	 	166.17966	90.88814	 	 	 	 	 	 	 	 	 	 	 	 	 
112	 	 	 	251.92728	0.9	 	165.36076	14.147152	 	166.28705	97.150764	 	 	 	 	 	 	 	 	 	 	 	 	 
113	 	 	 	251.91176	0.9027149	 	165.7201	13.854067	 	166.30724	103.945786	 	 	 	 	 	 	 	 	 	 	 	 	 
114	 	 	 	252.1036	0.9099099	 	166.07393	13.624006	 	166.38348	110.884346	 	 	 	 	 	 	 	 	 	 	 	 	 
115	 	 	 	251.46902	0.9159292	 	166.66614	13.472843	 	166.40701	118.05965	 	 	 	 	 	 	 	 	 	 	 	 	 
116	 	 	 	251.91176	0.9027149	 	166.76418	13.264992	 	166.47144	125.66071	 	 	 	 	 	 	 	 	 	 	 	 	 
117	 	 	 	251.8884	0.9151786	 	167.01282	13.169871	 	166.53964	133.58829	 	 	 	 	 	 	 	 	 	 	 	 	 
118	 	 	 	252.31363	0.9045454	 	167.0259	13.046926	 	166.573	141.7719	 	 	 	 	 	 	 	 	 	 	 	 	 
119	 	 	 	251.92728	0.9	 	167.01462	12.928572	 	166.60905	150.4427	 	 	 	 	 	 	 	 	 	 	 	 	 
120	 	 	 	251.89189	0.9054054	 	167.07605	12.925567	 	166.64018	159.18785	 	 	 	 	 	 	 	 	 	 	 	 	 
121	 	 	 	251.509	0.9009009	 	167.00325	12.899351	 	166.8093	168.46016	 	 	 	 	 	 	 	 	 	 	 	 	 
122	 	 	 	252.08296	0.91255605	 	167.05936	12.922764	 	166.74568	178.00288	 	 	 	 	 	 	 	 	 	 	 	 	 
123	 	 	 	251.89189	0.9054054	 	167.00162	12.96602	 	166.78767	187.85225	 	 	 	 	 	 	 	 	 	 	 	 	 
124	 	 	 	252.26785	0.91964287	 	166.84734	13.008885	 	166.8819	197.90552	 	 	 	 	 	 	 	 	 	 	 	 	 
125	 	 	 	251.8689	0.9177778	 	166.80421	13.092233	 	166.85516	208.44643	 	 	 	 	 	 	 	 	 	 	 	 	 
126	 	 	 	251.91176	0.9027149	 	166.562	13.155791	 	166.98373	219.11992	 	 	 	 	 	 	 	 	 	 	 	 	 
127	 	 	 	252.6384	0.92410713	 	166.27235	13.231708	 	166.97975	230.30365	 	 	 	 	 	 	 	 	 	 	 	 	 
128	 	 	 	252.07399	0.91255605	 	166.0756	13.273984	 	167.05693	241.68427	 	 	 	 	 	 	 	 	 	 	 	 	 
129	 	 	 	251.71622	0.9054054	 	165.92484	13.34804	 	167.06723	253.35085	 	 	 	 	 	 	 	 	 	 	 	 	 
130	 	 	 	251.7018	0.90807176	 	165.93019	13.420455	 	167.04565	265.4554	 	 	 	 	 	 	 	 	 	 	 	 	 
131	 	 	 	252.1036	0.9099099	 	165.8679	13.441653	 	167.12875	277.794	 	 	 	 	 	 	 	 	 	 	 	 	 
132	 	 	 	252.50453	0.9117647	 	165.87134	13.483713	 	167.17615	290.3906	 	 	 	 	 	 	 	 	 	 	 	 	 
133	 	 	 	251.89189	0.9054054	 	165.72058	13.486928	 	167.22787	303.4624	 	 	 	 	 	 	 	 	 	 	 	 	 
134	 	 	 	252.50453	0.9117647	 	165.56393	13.460656	 	167.23767	316.69507	 	 	 	 	 	 	 	 	 	 	 	 	 
135	 	 	 	252.90454	0.9136364	 	165.70723	13.355263	 	167.32837	330.37872	 	 	 	 	 	 	 	 	 	 	 	 	 
136	 	 	 	252.71461	0.9063927	 	165.7745	13.302288	 	167.27263	344.34222	 	 	 	 	 	 	 	 	 	 	 	 	 
137	 	 	 	253.13594	0.90553	 	165.85843	13.241407	 	167.28654	358.5	 	 	 	 	 	 	 	 	 	 	 	 	 
138	 	 	 	252.1199	0.9072398	 	165.89934	13.135025	 	167.26723	372.97745	 	 	 	 	 	 	 	 	 	 	 	 	 
139	 	 	 	251.7018	0.90807176	 	166.08873	13.052238	 	167.38406	387.90097	 	 	 	 	 	 	 	 	 	 	 	 	 
140	 	 	 	251.49103	0.90358746	 	166.46205	12.981848	 	167.43843	402.99014	 	 	 	 	 	 	 	 	 	 	 	 	 
141	 	 	 	251.89189	0.9054054	 	166.47205	12.838816	 	167.21106	418.4774	 	301.02426	670.68933	 	 	 	 	 	 	 	 	 	 
142	 	 	 	251.8689	0.9177778	 	166.71927	12.747508	 	167.41272	434.12595	 	301.3673	670.0877	 	 	 	 	 	 	 	 	 	 
143	 	 	 	251.68303	0.91071427	 	166.64476	12.594842	 	167.34674	450.25125	 	301.5591	670.66254	 	 	 	 	 	 	 	 	 	 
144	 	 	 	251.89189	0.9054054	 	166.87251	12.54139	 	167.3766	466.52057	 	301.63525	670.33575	 	 	 	 	 	 	 	 	 	 
145	 	 	 	252.26785	0.91964287	 	167.00084	12.365996	 	167.57732	483.17526	 	301.67142	670.14764	 	 	 	 	 	 	 	 	 	 
146	 	 	 	252.48198	0.9144144	 	167.10469	12.332496	 	167.45526	500.08685	 	301.28	670.58	 	 	 	 	 	 	 	 	 	 
147	 	 	 	251.509	0.9009009	 	167.1689	12.250836	 	167.50266	517.2613	 	301.27316	670.4537	 	 	 	 	 	 	 	 	 	 
148	 	 	 	251.91176	0.9027149	 	167.1605	12.212605	 	167.53467	534.68933	 	300.94174	670.9126	 	 	 	 	 	 	 	 	 	 
149	 	 	 	252.28923	0.91704035	 	167.18907	12.093277	 	167.62129	552.47034	 	300.92273	670.5409	 	 	 	 	 	 	 	 	 	 
150	 	 	 	252.31363	0.9045454	 	167.35329	12.081787	 	167.63315	570.44836	 	301.45215	670.38995	 	 	 	 	 	 	 	 	 	 
151	 	 	 	251.509	0.9009009	 	167.51175	12.045302	 	167.6566	588.8736	 	301.14734	670.78986	 	 	 	 	 	 	 	 	 	 
152	 	 	 	252.26126	0.9144144	 	167.4245	11.983221	 	167.44551	607.4591	 	 	 	 	 	 	 	 	 	 	 	 	 
153	 	 	 	251.06444	0.9088889	 	167.3165	11.924242	 	167.637	627.9406	 	 	 	 	 	 	 	 	 	 	 	 	 
