Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10
98,168.74374,635.8688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,168.73785,624.3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,168.64766,613.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,168.63222,603.0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,168.49629,593.35925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,168.48515,583.7356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,168.55515,574.4706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,168.58514,565.5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,168.42819,557.254,175.91777,3.788889,,,,,,,,,,,,,,,,,,,,,,,,,,
107,168.33333,549.0018,175.86124,3.80837,,,,,,,,,,,,,,,,,,,,,,,,,,
108,168.29366,541.00085,175.83772,3.8377192,,,,,,,,,,,,,,,,,,,,,,,,,,
109,168.17894,533.3,175.75676,3.8468468,,,,,,,,,,,,,,,,,,,,,,,,,,
110,168.21577,526.0095,175.75676,3.8468468,,,,,,,,,,,,,,,,,,,,,,,,,,
111,168.10966,519.1373,175.70705,3.8171806,,,,,,,,,,,,,,,,,,,,,,,,,,
112,168.02136,512.1855,175.73767,3.7421525,,,,,,,,,,,,,,,,,,,,,,,,,,
113,168.04701,505.8111,175.79578,3.7018778,,,,,,,,,,,,,,,,,,,,,,,,,,
114,167.95932,499.69153,175.83014,3.6866028,,,,,,,,,,,,,,,,,,,,,,,,,,
115,167.92761,493.94275,175.8445,3.6722488,,,,,,,,,,,,,,,,,,,,,,,,,,
116,167.77454,488.53162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,167.79568,483.3505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,167.7696,478.37582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,167.73366,473.83334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,167.67021,469.59494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,167.59018,465.74316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,167.556,462.1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,167.3416,458.8216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,167.34738,455.9515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,167.20793,453.29364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,167.16667,450.9746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,167.14977,448.9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,166.95024,447.2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,166.82915,445.86676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,166.75943,444.90253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,166.74649,443.9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,166.695,443.62793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,166.57907,443.44263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,166.53572,443.75623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,166.47353,444.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,166.3894,444.92212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,166.27464,446.06808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,166.1766,447.70407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,166.02441,449.40707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,165.90729,451.5824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,165.78076,454.0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,165.68642,456.79858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,165.50789,459.89273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,165.41653,463.3058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,165.2824,466.9496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,165.20049,471.0346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,165.05736,475.38046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,164.91774,479.83548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,164.88753,484.82184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,164.77019,490.19028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,164.74466,495.70853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,164.5592,501.62335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,164.44649,507.9281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,164.41597,514.47144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,164.18942,521.3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,164.08533,528.7935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,163.86536,536.1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,163.69826,544.08954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,163.52448,552.29895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,163.37631,560.7195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,163.32857,569.53394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,163.13028,578.57745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163.08707,587.9219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,162.91397,597.60394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,162.82079,607.5663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,162.74144,617.8694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,162.61023,629.9693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,162.42918,641.63007,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,162.54292,654.7867,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,162.467,642.9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,162.32228,637.4788,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,162.49127,632.3605,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,162.4693,627.56287,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,162.3952,623.18713,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,162.44453,618.67566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,162.50154,614.89044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,162.65443,611.37616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,162.6875,608.3811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,162.68779,605.6924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,162.7481,603.1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,162.84404,600.9694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,162.87747,599.15906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,162.88788,597.6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,162.95659,596.3533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,162.9713,595.46826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,162.98943,594.98035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,162.9985,594.7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,163.02258,594.9172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,163.05789,595.3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,163.0197,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,163.00684,597.13885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,163.0456,598.4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,163.07617,600.05505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,163.08069,601.99774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,163.13103,604.31024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,163.09271,607.0562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,163.18445,609.85516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,163.11398,613.1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,163.23781,616.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,163.21513,620.98663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,163.14117,625.46765,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,163.17668,630.191,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,163.2071,635.1081,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,163.13548,640.50275,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,163.35638,645.90186,163.80682,670.5455,,,,,,,,,,,,,,,,,,,,,,,,,,
210,163.51314,644.52234,*,164.25172,670.7184,*,,,,,,,,,,,,,,,,,,,,,,,,
211,163.52383,643.38873,*,164.5,671.0721,*,,,,,,,,,,,,,,,,,,,,,,,,
212,163.63535,642.6616,*,164.22621,671.07306,*,,,,,,,,,,,,,,,,,,,,,,,,
213,163.72414,642.1326,*,164.5024,671.0252,*,,,,,,,,,,,,,,,,,,,,,,,,
214,163.8174,642.0312,*,164.5,671.11255,*,,,,,,,,,,,,,,,,,,,,,,,,
215,163.83904,642.27527,*,164.28738,671.1332,*,,,,,,,,,,,,,,,,,,,,,,,,
216,163.9214,642.7933,*,164.92825,671.1469,*,,,,,,,,,,,,,,,,,,,,,,,,
217,163.9967,643.6897,*,164.32243,671.07007,*,,,,,,,,,,,,,,,,,,,,,,,,
218,164.08191,644.7923,*,164.56961,671.04755,*,,,,,,,,,,,,,,,,,,,,,,,,
219,164.09767,646.3797,*,164.95927,670.9344,*,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,165.43549,657.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,165.58559,657.9932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,165.7213,658.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,165.99538,658.0282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,165.86179,658.0317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,166.13225,658.14484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,166.11876,658.18976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,166.30307,658.14197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,166.28154,658.2917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,166.39906,658.28625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,166.5382,658.36163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,166.65346,658.4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,166.96587,658.3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,166.94199,658.3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,167.02997,658.3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,167.15872,658.4719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,167.31857,658.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,167.45369,658.3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,167.61436,658.5155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,167.74611,658.4542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,167.78285,658.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,168.0585,658.75104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,168.26389,658.57465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,168.22537,658.5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,168.50784,658.61584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,168.64978,658.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,168.65175,658.6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,169.06583,658.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,169.06299,658.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,169.34299,658.9518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,169.49379,658.83954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,169.72115,658.8542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,169.98984,658.8015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,170.09308,658.8386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,170.16194,658.8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,170.52924,658.9615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,170.56792,658.87085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,170.90338,658.90875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,171.22157,658.9127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,171.32379,658.94366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,171.44785,658.95953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,171.77103,658.9937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,172.10773,659.0368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,172.30272,658.9833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,172.55807,658.98364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
