Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
114	164.74051	6.7700424	 	167.54385	594.97955	 	 	 	 	 	 	 	 	 	 	 	 	 
115	164.37196	6.8513227	 	167.62094	613.71826	 	 	 	 	 	 	 	 	 	 	 	 	 
116	164.24867	6.8828206	 	167.9289	634.69867	 	 	 	 	 	 	 	 	 	 	 	 	 
117	164.6672	6.78967	 	168.02486	641.13306	 	 	 	 	 	 	 	 	 	 	 	 	 
118	164.53818	6.854189	 	167.98619	628.2643	 	 	 	 	 	 	 	 	 	 	 	 	 
119	164.42683	6.8626723	 	168.02486	618.16003	 	 	 	 	 	 	 	 	 	 	 	 	 
120	164.21172	6.9498415	 	168.15948	609.2554	 	 	 	 	 	 	 	 	 	 	 	 	 
121	166.05743	6.648577	 	168.08743	600.7888	 	 	 	 	 	 	 	 	 	 	 	 	 
122	166.02356	6.5214133	 	168.29256	592.1673	 	 	 	 	 	 	 	 	 	 	 	 	 
123	189.95418	7.000664	 	168.46124	584.01355	 	 	 	 	 	 	 	 	 	 	 	 	 
124	189.7163	7.02737	 	168.64313	576.2939	 	 	 	 	 	 	 	 	 	 	 	 	 
125	187.25815	6.8095236	 	168.60286	568.8943	 	 	 	 	 	 	 	 	 	 	 	 	 
126	164.77597	6.8788037	 	168.5113	561.86536	 	 	 	 	 	 	 	 	 	 	 	 	 
127	164.75	6.8618145	 	168.55493	555.0019	 	 	 	 	 	 	 	 	 	 	 	 	 
128	187.62086	6.8409667	 	168.71495	548.4495	 	 	 	 	 	 	 	 	 	 	 	 	 
129	185.2873	6.6552567	 	168.8315	542.2274	 	 	 	 	 	 	 	 	 	 	 	 	 
130	165.02197	6.91841	 	168.81985	536.4283	 	 	 	 	 	 	 	 	 	 	 	 	 
131	165.62383	6.750787	 	168.89488	530.7267	 	 	 	 	 	 	 	 	 	 	 	 	 
132	164.09746	6.9459743	 	168.9955	525.4568	 	 	 	 	 	 	 	 	 	 	 	 	 
133	189.30078	7.142202	 	169.10179	520.1964	 	 	 	 	 	 	 	 	 	 	 	 	 
134	186.79448	6.819549	 	169.07169	515.654	 	 	 	 	 	 	 	 	 	 	 	 	 
135	164.48943	6.9196615	 	169.18486	511.29578	 	 	 	 	 	 	 	 	 	 	 	 	 
136	164.18393	6.9439745	 	169.24387	507.19473	 	 	 	 	 	 	 	 	 	 	 	 	 
137	189.16536	7.14042	 	169.24913	503.36063	 	 	 	 	 	 	 	 	 	 	 	 	 
138	188.98804	7.1609044	 	169.34775	499.87024	 	 	 	 	 	 	 	 	 	 	 	 	 
139	187.91245	7.022698	 	169.4618	496.8125	 	 	 	 	 	 	 	 	 	 	 	 	 
140	163.33755	7.1118145	 	169.4308	493.94638	 	 	 	 	 	 	 	 	 	 	 	 	 
141	186.83292	6.8543506	 	169.5239	491.4761	 	 	 	 	 	 	 	 	 	 	 	 	 
142	188.6013	7.0493507	 	169.53938	489.21234	 	 	 	 	 	 	 	 	 	 	 	 	 
143	186.76962	6.88481	 	169.52551	487.37076	 	 	 	 	 	 	 	 	 	 	 	 	 
144	163.72258	6.962025	 	169.5273	485.77475	 	 	 	 	 	 	 	 	 	 	 	 	 
145	164.5094	6.867432	 	169.66924	484.5376	 	 	 	 	 	 	 	 	 	 	 	 	 
146	163.93971	6.942827	 	169.54713	483.5404	 	 	 	 	 	 	 	 	 	 	 	 	 
147	164.36325	6.8194156	 	169.74365	482.7978	 	 	 	 	 	 	 	 	 	 	 	 	 
148	165.82599	6.5083857	 	169.74957	482.56622	 	 	 	 	 	 	 	 	 	 	 	 	 
149	165.99413	6.363394	 	169.78862	482.573	 	 	 	 	 	 	 	 	 	 	 	 	 
150	163.9304	6.5845823	 	169.81526	482.6695	 	 	 	 	 	 	 	 	 	 	 	 	 
151	188.24518	6.480695	 	169.89594	483.3122	 	 	 	 	 	 	 	 	 	 	 	 	 
152	188.13205	6.453846	 	169.83952	484.30576	 	 	 	 	 	 	 	 	 	 	 	 	 
153	184.6201	6.154412	 	169.86565	485.44388	 	 	 	 	 	 	 	 	 	 	 	 	 
154	189.86723	6.5250993	 	169.9627	486.91864	 	 	 	 	 	 	 	 	 	 	 	 	 
155	189.6749	6.461282	 	170.10715	488.7024	 	 	 	 	 	 	 	 	 	 	 	 	 
156	190.30952	6.3639455	 	170.12329	490.8202	 	 	 	 	 	 	 	 	 	 	 	 	 
157	189.42441	6.143236	 	170.04109	493.44864	 	 	 	 	 	 	 	 	 	 	 	 	 
158	188.59586	5.992228	 	170.08864	496.3055	 	 	 	 	 	 	 	 	 	 	 	 	 
159	188.41689	5.94026	 	170.06995	499.36182	 	 	 	 	 	 	 	 	 	 	 	 	 
160	163.79585	6.234716	 	170.10727	502.70242	 	 	 	 	 	 	 	 	 	 	 	 	 
161	164.74156	6.1006527	 	170.1	506.51913	 	 	 	 	 	 	 	 	 	 	 	 	 
162	166.48361	5.742623	 	170.07242	510.55237	 	 	 	 	 	 	 	 	 	 	 	 	 
163	166.15498	5.773823	 	170.07867	514.81995	 	 	 	 	 	 	 	 	 	 	 	 	 
164	164.87799	6.035948	 	170.05019	519.5215	 	 	 	 	 	 	 	 	 	 	 	 	 
165	164.84973	6.0125685	 	170.12433	524.475	 	 	 	 	 	 	 	 	 	 	 	 	 
166	164.59761	6.0130153	 	170.13358	529.76715	 	 	 	 	 	 	 	 	 	 	 	 	 
167	163.90306	6.061884	 	170.10617	535.333	 	 	 	 	 	 	 	 	 	 	 	 	 
168	191.1538	5.864138	 	170.1312	541.1991	 	 	 	 	 	 	 	 	 	 	 	 	 
169	190.92917	5.8450212	 	170.10999	547.2782	 	 	 	 	 	 	 	 	 	 	 	 	 
170	190.69382	5.825843	 	170.18156	553.6844	 	 	 	 	 	 	 	 	 	 	 	 	 
171	191.23692	5.6937766	 	170.33365	560.57947	 	 	 	 	 	 	 	 	 	 	 	 	 
172	191.73447	5.588983	 	170.27127	567.70416	 	 	 	 	 	 	 	 	 	 	 	 	 
