Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3 X4 Y4 Flag4 X5 Y5 Flag5 X6 Y6 Flag6 X7 Y7 Flag7 X8 Y8 Flag8
Tracks 1 to 8                     
251 175.88861 585.9699                      
252 176.05519 588.3287                      
253 176.16016 590.8463                      
254 176.3569 593.6711                      
255 176.49341 596.9102                      
256 176.60579 600.4785                      
257 176.82948 604.2957                      
258 176.92715 608.4238                      
259 177.01248 612.87274                      
260 177.1208 617.6812                      
261 177.21498 623.2573                      
262 177.40967 628.95483                      
263 177.534 634.9374                      
264 177.77531 645.7605                      
265 177.88171 646.8177                      
266 177.99194 639.92755                      
267 178.30267 636.74036                      
268 178.54813 633.8714                      
269 178.65813 631.4563                      
270 178.85489 629.3165                      
271 179.13872 627.41003                      
272 179.43855 625.7765                      
273 179.66872 624.64874                      
274 179.88022 623.71796                      
275 180.06522 623.27795                      
276 180.33826 622.937                      
277 180.51538 623.0615                      
278 180.65314 623.4571                      
279 180.90524 624.3305                      
280 181.0321 625.2936                      
281 181.2957 626.59985                      
282 181.4145 628.39923                      
283 181.67496 630.3989                      
284 181.89285 632.71277                      
285 182.0907 635.3486                      
286 182.261 638.28156                      
287 182.75082 646.1751                      
288 182.92683 647.7594                      
289 183.1905 646.9447                      
290 183.50783 645.5324                      
291 183.48688 639.6574                      
292 183.78882 638.648                      
293 183.95044 638.0379                      
294 184.18475 637.57916                      
295 184.42804 637.55725                      
296 184.69327 637.78845                      
297 184.83235 638.582                      
298 185.08502 639.4769                      
299 185.35036 640.76044                      
300 185.8808 646.90454                      
301 186.02464 647.9622                      
302 186.28555 647.9781                      
303 186.63068 647.5011                      
304 186.95386 647.0375                      
305 187.2101 646.753                      
306 187.41676 646.8719                      
307 187.66846 647.28436                      
308 187.80276 647.73346                      
309 188.15912 648.3371                      
310 188.31837 648.22754                      
311 188.5998 648.1148                      
312 188.85011 647.9957                      
313 189.12206 648.0707                      
314 189.46448 648.32886                      
315 189.66307 648.3682                      
316 189.99353 648.2317                      
317 190.1706 648.38196                      
318 190.42728 648.4615                      
319 190.65086 648.39655                      
320 191.02716 648.4159                      
321 191.33316 648.3952                      
322 191.63963 648.41406                      
323 191.92184 648.38544                      
324 192.11992 648.53424                      
325 192.25484 648.50323                      
326 192.52972 648.6104                      
327 192.80843 648.5395                      
328 193.06549 648.6108                      
329 193.3782 648.69977                      
330 193.73158 648.77747                      
331 193.98721 648.6802                      
332 194.20607 648.8248                      
333 194.47116 648.77136                      
334 194.65335 648.94305                      
335 194.92479 648.893                      
336 195.2981 648.98944                      
337 195.61678 648.88745                      
338 195.85579 649.09686                      
339 196.23973 649.1185                      
340 196.38866 649.1218                      
341 196.60922 649.01324                      
342 196.92436 649.17334                      
343 197.16562 649.3767                      
344 197.48848 649.3775                      
345 197.7943 649.17615                      
346 197.99634 649.1618                      
347 198.33492 649.19714                      
348 198.56374 649.2555                      
349 198.98384 649.4249                      
350 199.27673 649.59033                      
351 199.62396 649.57605                      
352 199.84547 649.43134                      
353 200.2082 649.3567                      
354 200.47925 649.5                      
355 200.80595 649.72174                      
356 201.10353 649.5999                      
357 201.3858 649.8241                      
358 201.66269 649.6751                      
359 201.94298 649.77594                      
360 202.30757 649.7446                      
361 202.62038 649.7572                      
362 202.94081 649.9684                      
363 203.28781 650.06244                      
364 203.65494 649.95056                      
365 203.90102 650.02997                      
366 204.23245 649.8561                      
367 204.53952 650.04205                      
368 204.93915 650.13086                      
369 205.15482 650.12134                      
370 205.57536 650.18024                      
371 205.79495 650.2253                      
372 206.20232 650.26996                      
373 206.501 650.218                      
374 206.8716 650.37415                      
375 207.08788 650.43134                      
376 207.54935 650.504                      
377 207.74297 650.4769                      
378 208.09013 650.3923                      
379 208.47911 650.698 300.66364 670.2182                    
380 208.85464 650.5959 301.30695 670.56433                    
381 209.14612 650.7634 301.35513 670.3925                    
382 209.52498 650.7008 301.31094 670.699                    
383 209.81157 650.8017 301.50906 669.72174                    
384 210.22493 650.80286 301.35437 670.5243                    
385 210.56126 650.88635 301.51376 669.73395                    
