Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
105	163.25455	606.7515	 	 	 	 	257.36752	680.59827	 	168.82367	9.224638	 	 	 	 	 	 	 	 	 	 
106	163.22974	626.7649	 	 	 	 	255.00218	680.77075	 	168.8301	9.228155	 	 	 	 	 	 	 	 	 	 
107	163.13876	637.13434	 	 	 	 	253.32744	680.79645	 	168.81718	9.219129	 	 	 	 	 	 	 	 	 	 
108	163.0106	624.7505	 	 	 	 	256.2436	680.5342	 	168.85507	9.227053	 	 	 	 	 	 	 	 	 	 
109	162.90718	614.98303	 	 	 	 	261.08963	680.7217	 	168.91063	9.207729	 	 	 	 	 	 	 	 	 	 
110	162.82465	606.0491	 	 	 	 	259.27292	680.5699	 	168.9122	9.180488	 	 	 	 	 	 	 	 	 	 
111	162.73306	597.5219	 	 	 	 	262.71155	680.6923	 	168.74757	9.211165	 	 	 	 	 	 	 	 	 	 
112	162.5927	589.2101	 	 	 	 	260.52728	680.62274	 	168.72705	9.205314	 	 	 	 	 	 	 	 	 	 
113	162.60196	581.16077	 	 	 	 	257.41464	680.5691	 	168.8122	9.170732	 	 	 	 	 	 	 	 	 	 
114	162.68762	573.3781	 	 	 	 	256.1988	680.6205	 	169.06068	9.182039	 	 	 	 	 	 	 	 	 	 
115	162.41731	566.1173	 	 	 	 	259.2227	680.57983	 	169.09657	9.191932	 	 	 	 	 	 	 	 	 	 
116	162.38461	559.0192	 	 	 	 	261.67316	680.4567	 	168.88387	9.177261	 	 	 	 	 	 	 	 	 	 
117	162.09428	552.3705	 	 	 	 	265.10464	680.4721	 	168.97101	9.140097	 	 	 	 	 	 	 	 	 	 
118	162.08911	545.8227	 	 	 	 	259.2125	680.5333	 	169.08212	9.103865	 	 	 	 	 	 	 	 	 	 
119	161.97752	539.68915	 	 	 	 	263.44537	680.15967	 	169.03511	9.095642	 	 	 	 	 	 	 	 	 	 
120	161.83888	533.86664	 	 	 	 	264.47662	680.4673	 	169.00365	9.06691	 	 	 	 	 	 	 	 	 	 
121	161.71082	528.3937	 	 	 	 	 	 	 	168.78366	9.096154	 	 	 	 	 	 	 	 	 	 
122	161.62317	522.9927	 	 	 	 	 	 	 	168.85437	9.031553	 	263.02728	680.5182	 	 	 	 	 	 	 
123	161.55818	517.9636	 	 	 	 	 	 	 	168.97678	8.986552	 	261.41394	680.39343	 	 	 	 	 	 	 
124	161.42322	513.3848	 	 	 	 	 	 	 	168.80975	8.943902	 	260.73453	680.646	 	 	 	 	 	 	 
125	161.31622	509.04053	 	 	 	 	 	 	 	168.87408	8.962103	 	263.7646	680.4507	 	 	 	 	 	 	 
126	161.20683	505.03598	 	 	 	 	 	 	 	168.84793	8.928224	 	262.7694	680.55023	 	 	 	 	 	 	 
127	161.13196	501.1948	 	 	 	 	 	 	 	169.04015	8.918491	 	259.2723	680.625	 	 	 	 	 	 	 
128	161.0125	497.85178	 	 	 	 	 	 	 	168.96059	8.864532	 	260.21967	680.4414	 	 	 	 	 	 	 
129	160.83333	494.72983	 	 	 	 	 	 	 	169.19608	8.830882	 	262.89832	680.2288	 	 	 	 	 	 	 
