A5_papier_lijst,A5_coefficienten_1_h_O_lijst,A5_fout_coefficienten_1_h_O_lijst,A5_coefficienten_1_v_O_lijst,A5_fout_coefficienten_1_v_O_lijst
45,0.3968266817737342,0.0038231813368338704,0.6720035460992854,0.008615804566640368
45,0.39721085327144373,0.0038736982381309226,0.6477121746252712,0.00842122124149072
46,0.33519527556569684,0.004543234312270346,0.5916711563750954,0.007714543064293346
46,0.3616201123708821,0.004566497882232481,0.6008126541866176,0.007796775764287622
48,0.3354679277859971,0.004464893728337626,0.5811710684072596,0.0075167862707064955
48,0.3334929411338141,0.004278248167499187,0.6125607282247523,0.006771914603653208
50,0.3252670103427476,0.005616082733603021,0.5930359616773024,0.006645180651960018
50,0.3461832306181944,0.005306308829784762,0.5997869043006563,0.007022491777215888
52,0.3376965382872358,0.006217370117669031,0.5885964558832908,0.006000932991839235
52,0.34727264891857806,0.005828199302605585,0.5248930878650946,0.004903695621267237
54,0.331391471061541,0.00475111557798175,0.546234647517454,0.0010109569954598397
54,0.34909076263346067,0.004818863328409967,0.6085071082338402,0.00481002590825151
56,0.347336889640782,0.005127591687329903,0.5500570061103416,0.0061061772125297195
56,0.3548886521324979,0.0042791288635913236,0.5504754965016215,0.006028751926433755
58,0.3274274654280399,0.004931781083183347,0.5272143944051021,0.005820502727352366
58,0.35285813339452765,0.005791483011631271,0.6213438861318931,0.00523490738721269
60,0.3465541883819353,0.004902433146396497,0.6057170186152604,0.007248022063429458
60,0.3669062482991346,0.004603227661465905,0.6071165311103472,0.005400310522966486
100,0.437635687460366,0.005697906011575164,0.6276363396602702,0.003222201033330225
100,0.4052448608066895,0.004361901084903169,0.6832124198163968,0.0043551492680326655
150,0.38295187343700543,0.004738036944926244,0.5362771865595264,0.004513665206900851
150,0.32529569885670406,0.004596828331018878,0.5768331247117724,0.004998068953556619
200,0.3104107976691768,0.0040524666425322525,0.4863327975854353,0.00374709262969758
200,0.3133531529657697,0.004736988629674853,0.47454026617328093,0.002835395553932308
250,0.2695244529414126,0.003936963093269821,0.39279367627694717,0.00303002430290733
250,0.2354005654122553,0.0034432329048268767,0.3753462226386105,0.0014144464466807772
300,0.26753699874602954,0.004496349220977272,0.3301349971731579,0.002027029568785044
300,0.2656732666178419,0.0036329920018960088,0.34673087294206273,0.0013249516147352037
