A5_papier_lijst,A5_coefficienten_1_h_O_lijst,A5_fout_coefficienten_1_h_O_lijst,A5_coefficienten_1_v_O_lijst,A5_fout_coefficienten_1_v_O_lijst
24,0.28248410325592244,0.004496405525287736,0.5376110598411248,0.21048238836417235
26,0.27162604109824007,0.00428906672772119,0.5672309924949467,0.27246527527022557
26,0.2951410997697389,0.005410625355286868,0.6257418751213867,0.24776407146793006
28,0.2991782161881089,0.004756922994101335,0.5804853904627526,0.2504490151111606
28,0.28932958980491114,0.004497455031530677,0.505715287231701,11.270689527421954
30,0.32216075743776434,0.004186987866043671,0.6401909506137162,0.45865966534552827
30,0.32954687694904655,0.003800300848786993,0.7109500094741965,0.49878255813448086
32,0.32146192814093644,0.005668254351465455,0.6097965919040986,0.2420715408497474
32,0.30574831086728615,0.005475311903050874,0.6813679366328554,0.29930774420485295
34,0.3226378349884255,0.004035670232433966,0.657318231351338,0.42486980572530153
34,0.3526261651833025,0.004731273534000582,0.6807558303776128,0.36874862388397095
36,0.35223432693154266,0.005521994321332174,0.5995926718800028,0.27216100675770555
36,0.3254690929364257,0.005203993220112662,0.5503750346866269,32.83751805762742
38,0.31716196894257437,0.0043102251387968,0.6296936206973495,0.2978145685383527
38,0.33046022675548653,0.0042328381795148345,0.85599342905099,0.4795447556111632
40,0.3564573852299128,0.003799659642132197,0.6618504553168756,0.7855278816900477
40,0.35679342681194043,0.003915422055478223,0.7210828156587811,0.3002371039594824
42,0.31915693640373144,0.004745066387075748,0.6416754370689002,0.34371988019065797
42,0.35351996471890457,0.005048231279864152,0.6414992045997701,0.30724295317907513
44,0.32502799385612285,0.0055198426867005355,0.6681839033893577,0.33223255951218433
44,0.35979299046457974,0.0046906352337209535,0.5544244278587322,0.25724308692408077
45,0.3968266817737342,0.0038231813368338704,0.7359429983279018,0.388472170313011
45,0.39721085327144373,0.0038736982381309226,0.7398851727681487,0.42729371539459
46,0.33519527556569684,0.004543234312270346,0.5478220640569513,0.29933571420225913
46,0.3616201123708821,0.004566497882232481,0.5461753864616871,0.26739546957168514
48,0.3354679277859971,0.004464893728337626,0.7052884470097579,0.32665984640592793
