Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
106	 	 	 	 	 	 	176.23479	638.9631	 	112.21066	508.98984	 	 	 	 
107	 	 	 	 	 	 	192.88411	637.7699	 	111.95209	512.18304	 	 	 	 
108	 	 	 	 	 	 	176.20381	637.39984	 	111.55665	515.21185	 	 	 	 
109	 	 	 	 	 	 	169.89662	638.8703	 	111.33034	518.79047	 	 	 	 
110	 	 	 	 	 	 	165.10461	638.8386	 	111.088234	522.6177	 	 	 	 
111	 	 	 	 	 	 	183.33282	637.7575	 	111.01928	526.62854	 	 	 	 
112	 	 	 	 	 	 	168.86096	638.8481	 	110.60909	531.1701	 	 	 	 
113	 	 	 	 	 	 	170.97379	638.8903	 	110.3776	535.9714	 	 	 	 
114	 	 	 	 	 	 	199.48178	637.17053	 	110.01579	541.3289	 	 	 	 
115	 	 	 	 	 	 	191.12039	637.565	 	109.74219	546.60675	 	 	 	 
116	 	 	 	 	 	 	206.27933	638.8827	 	109.45052	552.2422	 	 	 	 
117	 	 	 	 	 	 	219.06302	637.44745	 	109.150536	558.207	 	 	 	 
118	 	 	 	 	 	 	196.2305	637.6064	 	109.00135	564.4191	 	 	 	 
119	 	 	 	 	 	 	182.2542	637.23285	 	108.78219	570.78217	 	 	 	 
120	 	 	 	 	 	 	190.97078	637.7175	 	108.57552	577.4505	 	 	 	 
121	 	 	 	 	 	 	170.97002	638.8946	 	108.12434	584.50793	 	 	 	 
122	 	 	 	 	 	 	190.54677	637.7371	 	107.92091	591.8539	 	 	 	 
123	 	 	 	 	 	 	189.88686	637.5245	 	107.621445	599.562	 	 	 	 
124	 	 	 	 	 	 	172.41154	638.87115	 	107.39621	608.0409	 	 	 	 
125	 	 	 	 	 	 	164.41826	638.8235	 	107.215836	604.39154	 	 	 	 
126	 	 	 	 	 	 	174.98433	637.4587	 	107.169624	600.6397	 	 	 	 
127	 	 	 	 	 	 	189.10756	637.7348	 	106.723526	596.87177	 	 	 	 
128	 	 	 	 	 	 	195.61612	637.65424	 	106.58216	593.8615	 	 	 	 
129	 	 	 	 	 	 	222.77142	637.2755	 	106.352806	590.98364	 	 	 	 
130	 	 	 	 	 	 	 	 	 	106.22066	588.4413	 	170.99509	638.9028	 
131	 	 	 	 	 	 	 	 	 	106.07109	586.17535	 	169.091	638.9129	 
132	 	 	 	 	 	 	 	 	 	105.95	584.0857	 	165.25992	638.82135	 
133	 	 	 	 	 	 	 	 	 	105.60844	582.37714	 	169.5229	638.89124	 
134	 	 	 	 	 	 	 	 	 	105.45023	581.0758	 	187.26013	637.7695	 
135	 	 	 	 	 	 	 	 	 	105.259346	580.1332	 	189.12057	637.6849	 
136	 	 	 	 	 	 	 	 	 	105.07746	579.2019	 	190.13255	637.3031	 
137	 	 	 	 	 	 	 	 	 	105.00701	578.73834	 	188.43405	637.6457	 
138	 	 	 	 	 	 	 	 	 	104.82701	578.3199	 	167.90364	638.85455	 
139	 	 	 	 	 	 	 	 	 	104.54176	578.50696	 	177.35909	637.0339	 
140	 	 	 	 	 	 	 	 	 	104.48572	578.9262	 	183.7071	637.82306	 
141	 	 	 	 	 	 	 	 	 	104.252945	579.5165	 	188.59969	637.61237	 
142	 	 	 	 	 	 	 	 	 	103.96099	580.9137	 	176.13461	638.953	 
143	 	 	 	 	 	 	 	 	 	103.74178	582.0258	 	202.71486	638.87665	 
144	 	 	 	 	 	 	 	 	 	103.65962	583.61505	 	189.22899	637.55316	 
145	 	 	 	 	 	 	 	 	 	103.38756	585.39954	 	178.22298	638.9865	 
146	 	 	 	 	 	 	 	 	 	103.21663	587.3829	 	176.42473	638.95807	 
147	 	 	 	 	 	 	 	 	 	103.00711	589.9123	 	172.08943	638.93494	 
148	 	 	 	 	 	 	 	 	 	103.00812	592.67633	 	175.26707	638.90564	 
149	 	 	 	 	 	 	 	 	 	102.64747	595.53455	 	178.35591	637.2896	 
150	 	 	 	 	 	 	 	 	 	102.5023	599.1138	 	168.29083	638.85596	 
151	 	 	 	 	 	 	 	 	 	102.41131	602.8548	 	184.39687	637.6868	 
152	 	 	 	 	 	 	 	 	 	102.241684	608.0127	 	166.47144	638.83215	 
153	 	 	 	 	 	 	 	 	 	101.93269	609.05963	 	167.32909	638.8418	 
154	 	 	 	 	 	 	 	 	 	101.704124	606.5763	 	189.7504	637.7231	 
155	 	 	 	 	 	 	 	 	 	101.471016	605.23083	 	194.43527	637.3738	 
156	 	 	 	 	 	 	 	 	 	101.13694	604.1879	 	194.92514	637.7514	 
157	 	 	 	 	 	 	 	 	 	100.96751	603.43713	 	218.14403	637.2737	 
158	 	 	 	 	 	 	 	 	 	100.8113	602.7964	 	182.98456	637.46423	 
159	 	 	 	 	 	 	 	 	 	100.58034	602.5465	 	170.26357	638.8973	 
160	 	 	 	 	 	 	 	 	 	100.35361	602.41754	 	186.50615	637.70276	 
161	 	 	 	 	 	 	 	 	 	100.09664	602.89496	 	184.77654	637.70776	 
162	 	 	 	 	 	 	 	 	 	99.833336	603.5591	 	152.14	638.3224	 
163	 	 	 	 	 	 	 	 	 	99.42724	604.5998	 	185.48567	637.4226	 
164	 	 	 	 	 	 	 	 	 	99.296684	606.1162	 	186.1888	637.41003	 
165	 	 	 	 	 	 	 	 	 	99.00659	608.9294	 	183.47165	637.8512	 
166	 	 	 	 	 	 	 	 	 	98.8515	609.9041	 	162.18384	638.78064	 
167	 	 	 	 	 	 	 	 	 	98.56015	609.3853	 	186.92723	637.73315	 
168	 	 	 	 	 	 	 	 	 	98.44487	609.249	 	170.3605	638.91846	 
169	 	 	 	 	 	 	 	 	 	98.149254	609.26495	 	161.05211	638.8309	 
170	 	 	 	 	 	 	 	 	 	97.79944	609.4925	 	162.38521	638.858	 
171	 	 	 	 	 	 	 	 	 	97.65257	609.87683	 	187.6185	637.6688	 
172	 	 	 	 	 	 	 	 	 	97.35158	610.05475	 	165.85262	638.8918	 
173	 	 	 	 	 	 	 	 	 	97.13451	609.91003	 	183.42825	637.65546	 
174	 	 	 	 	 	 	 	 	 	96.79026	609.6985	 	158.49295	638.8222	 
175	 	 	 	 	 	 	 	 	 	96.45733	609.67255	 	180.91714	637.7398	 
176	 	 	 	 	 	 	 	 	 	96.32836	609.7705	 	152.53262	638.5881	 
177	 	 	 	 	 	 	 	 	 	96.0539	609.62823	 	156.88112	638.7749	 
178	 	 	 	 	 	 	 	 	 	95.81111	609.78516	 	174.10143	637.76855	 
179	 	 	 	 	 	 	 	 	 	95.48333	609.8889	 	160.9171	638.84906	 
180	 	 	 	 	 	 	 	 	 	95.25933	609.94965	 	179.55373	637.85077	 
181	 	 	 	 	 	 	 	 	 	95.01287	609.9651	 	183.18741	637.4052	 
182	 	 	 	 	 	 	 	 	 	94.838234	610.12866	 	158.76048	638.8129	 
183	 	 	 	 	 	 	 	 	 	94.47628	610.2865	 	151.3027	638.5944	 
184	 	 	 	 	 	 	 	 	 	94.19245	610.279	 	172.46875	637.6369	 
185	 	 	 	 	 	 	 	 	 	93.96939	610.1308	 	160.85037	638.8887	 
186	 	 	 	 	 	 	 	 	 	93.673676	610.0503	 	160.28136	638.8871	 
187	 	 	 	 	 	 	 	 	 	93.43934	610.1875	 	179.95906	637.731	 
188	 	 	 	 	 	 	 	 	 	93.13333	610.1315	 	162.48438	638.8351	 
189	 	 	 	 	 	 	 	 	 	92.93144	610.11975	 	146.83846	638.2938	 
190	 	 	 	 	 	 	 	 	 	92.72909	610.0618	 	149.0787	638.40894	 
191	 	 	 	 	 	 	 	 	 	92.38582	610.1372	 	154.7995	638.77454	 
192	 	 	 	 	 	 	 	 	 	92.06747	610.25415	 	161.02048	638.8259	 
193	 	 	 	 	 	 	 	 	 	91.90073	610.1466	 	172.58986	637.86957	 
194	 	 	 	 	 	 	 	 	 	91.5647	610.2209	 	176.01653	637.6074	 
195	 	 	 	 	 	 	 	 	 	91.35138	610.3312	 	171.7696	637.77673	 
196	 	 	 	 	 	 	 	 	 	91.10813	610.5203	 	159.18158	638.88104	 
